season,player_id,player_name,team,position,games,tackles_total,sacks,interceptions,forced_fumbles,fumbles_recovered,passes_defended,tfl
2018,00-0020531,D.Brees,ATL,DEF,5,0,0.0,0,0,5,0,0
2018,00-0021140,J.Peppers,CAR,DEF,6,0,5.0,0,0,1,0,0
2018,00-0022161,T.Suggs,BAL,DEF,7,0,6.0,0,0,1,0,0
2018,00-0022247,M.Adams,CAR,DEF,2,0,0.0,3,0,0,0,0
2018,00-0022787,M.Schaub,CAR,DEF,1,0,0.0,0,0,1,0,0
2018,00-0022803,E.Manning,HOU,DEF,2,0,0.0,0,0,2,0,0
2018,00-0022924,B.Roethlisberger,KC,DEF,4,0,0.0,0,0,4,0,0
2018,00-0022942,P.Rivers,DEN,DEF,1,0,0.0,0,0,1,0,0
2018,00-0023259,L.Alexander,BUF,DEF,7,0,6.0,2,0,1,0,0
2018,00-0023368,C.Wake,MIA,DEF,4,0,5.0,0,0,0,0,0
2018,00-0023436,A.Smith,ARI,DEF,2,0,0.0,0,0,3,0,0
2018,00-0023441,A.Jones,DEN,DEF,1,0,0.0,1,0,0,0,0
2018,00-0023448,T.Davis,CAR,DEF,1,0,0.0,0,0,2,0,0
2018,00-0023459,A.Rodgers,MIN,DEF,1,0,0.0,0,0,1,0,0
2018,00-0023645,D.Anderson,NE,DEF,1,0,0.0,0,0,1,0,0
2018,00-0023682,R.Fitzpatrick,CIN,DEF,2,0,0.0,0,0,2,0,0
2018,00-0024030,T.Johnson,MIN,DEF,5,0,4.0,0,0,2,0,0
2018,00-0024061,T.Williams,GB,DEF,1,0,0.0,0,0,1,0,0
2018,00-0024227,H.Ngata,PHI,DEF,1,0,1.0,0,0,0,0,0
2018,00-0024239,J.Joseph,HOU,DEF,2,0,0.0,2,0,0,0,0
2018,00-0024348,K.Williams,BUF,DEF,4,0,3.0,0,0,1,0,0
2018,00-0024421,A.Bethea,ARI,DEF,3,0,3.0,0,0,0,0,0
2018,00-0025408,R.Nelson,LV,DEF,2,0,0.0,2,0,0,0,0
2018,00-0025418,G.Olsen,SEA,DEF,1,0,0.0,0,0,1,0,0
2018,00-0025424,E.Weddle,BAL,DEF,1,0,1.0,0,0,0,0,0
2018,00-0025446,R.Kalil,SEA,DEF,1,0,0.0,0,0,1,0,0
2018,00-0025472,B.Mebane,LAC,DEF,1,0,1.0,0,0,0,0,0
2018,00-0025473,M.Yanda,ATL,DEF,1,0,0.0,0,0,1,0,0
2018,00-0025555,C.Graham,PHI,DEF,1,0,0.0,1,0,0,0,0
2018,00-0025828,W.Woodyard,TEN,DEF,4,0,4.0,0,0,1,0,0
2018,00-0025900,C.Clark,SEA,DEF,1,0,0.0,0,0,1,0,0
2018,00-0026142,C.Long,PHI,DEF,3,0,5.0,0,0,0,0,0
2018,00-0026143,M.Ryan,CLE,DEF,2,0,0.0,0,0,2,0,0
2018,00-0026158,J.Flacco,BUF,DEF,1,0,0.0,0,0,1,0,0
2018,00-0026160,A.Talib,LA,DEF,2,0,0.0,1,0,1,0,0
2018,00-0026176,J.Nelson,LV,DEF,1,0,0.0,0,0,1,0,0
2018,00-0026190,C.Campbell,JAX,DEF,9,0,10.0,0,0,1,0,0
2018,00-0026243,W.Hayes,MIA,DEF,2,0,2.0,0,0,0,0,0
2018,00-0026280,B.Carr,BAL,DEF,2,0,0.0,2,0,0,0,0
2018,00-0026283,O.Scandrick,KC,DEF,1,0,0.0,1,0,0,0,0
2018,00-0026327,J.Sullivan,MIN,DEF,2,0,0.0,0,0,2,0,0
2018,00-0026498,M.Stafford,CHI,DEF,1,0,0.0,0,0,1,0,0
2018,00-0026502,R.Jean Francois,DET,DEF,1,0,2.0,0,0,0,0,0
2018,00-0026544,C.Daniel,NYG,DEF,1,0,0.0,0,0,3,0,0
2018,00-0026618,M.Bennett,PHI,DEF,8,0,9.0,0,0,0,0,0
2018,00-0026839,J.Parnell,PIT,DEF,1,0,0.0,0,0,1,0,0
2018,00-0026898,M.Sanchez,PHI,DEF,1,0,0.0,0,0,1,0,0
2018,00-0026944,C.Munnerlyn,CAR,DEF,4,0,2.0,1,0,1,0,0
2018,00-0026964,C.McDonald,LV,DEF,2,0,2.0,0,0,0,0,0
2018,00-0026989,B.Orakpo,TEN,DEF,2,0,1.0,0,0,1,0,0
2018,00-0026990,M.Jenkins,PHI,DEF,3,0,1.0,1,0,1,0,0
2018,00-0026997,A.Mack,PHI,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027002,C.Matthews,GB,DEF,3,0,3.0,0,0,0,0,0
2018,00-0027010,P.Chung,NE,DEF,2,0,0.0,1,0,1,0,0
2018,00-0027022,C.Barwin,NYG,DEF,1,0,1.0,0,0,0,0,0
2018,00-0027023,M.Mitchell,IND,DEF,1,0,0.0,1,0,0,0,0
2018,00-0027044,M.Johnson,CIN,DEF,1,0,0.0,1,0,0,0,0
2018,00-0027057,B.Tate,NO,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027081,G.Quin,DET,DEF,1,0,1.0,0,0,0,0,0
2018,00-0027136,J.McCourty,NE,DEF,1,0,0.0,1,0,0,0,0
2018,00-0027150,J.Edelman,NE,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027195,R.Bush,BUF,DEF,1,0,1.0,0,0,0,0,0
2018,00-0027236,K.Love,CAR,DEF,2,0,1.0,0,0,2,0,0
2018,00-0027256,D.Stewart,DEN,DEF,3,0,0.0,2,0,1,0,0
2018,00-0027416,B.Church,JAX,DEF,2,0,1.0,1,0,0,0,0
2018,00-0027440,S.Shields,LA,DEF,1,0,0.0,1,0,0,0,0
2018,00-0027539,A.Levine Sr.,BAL,DEF,2,0,1.0,1,0,0,0,0
2018,00-0027547,M.Sherels,GB,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027560,A.McClellan,NE,DEF,2,0,0.0,0,0,2,0,0
2018,00-0027647,D.McCourty,NE,DEF,3,0,0.0,1,0,2,0,0
2018,00-0027662,C.Dunlap,CIN,DEF,8,0,8.0,0,0,1,0,0
2018,00-0027663,S.Lee,DAL,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027674,J.Veldheer,BAL,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027686,C.Peters,ARI,DEF,2,0,2.0,0,0,1,0,0
2018,00-0027691,A.Roberts,NYJ,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027701,E.Griffen,MIN,DEF,4,0,4.0,0,0,0,0,0
2018,00-0027720,G.Atkins,CIN,DEF,6,0,10.0,0,0,0,0,0
2018,00-0027743,S.McManis,CHI,DEF,1,0,1.0,1,0,0,0,0
2018,00-0027762,R.Jones,MIA,DEF,2,0,0.0,3,0,0,0,0
2018,00-0027812,D.Watson,SF,DEF,1,0,1.0,0,0,0,0,0
2018,00-0027855,N.Suh,LA,DEF,5,0,5.0,0,0,2,0,0
2018,00-0027856,G.McCoy,TB,DEF,4,0,5.0,0,0,0,0,0
2018,00-0027857,T.Williams,CAR,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027860,J.Haden,PIT,DEF,2,0,0.0,2,0,0,0,0
2018,00-0027865,B.Graham,PHI,DEF,5,0,4.0,0,0,1,0,0
2018,00-0027866,E.Thomas,SEA,DEF,2,0,0.0,3,0,0,0,0
2018,00-0027867,J.Pierre-Paul,TB,DEF,11,0,12.0,0,0,1,0,0
2018,00-0027868,D.Morgan,TEN,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027872,K.Jackson,HOU,DEF,4,0,1.0,2,0,1,0,0
2018,00-0027881,J.Hughes,BUF,DEF,6,0,6.0,0,0,0,0,0
2018,00-0027885,L.Joseph,MIN,DEF,1,0,1.0,0,0,1,0,0
2018,00-0027891,G.Tate,MIA,DEF,2,0,0.0,0,0,2,0,0
2018,00-0027939,C.Newton,CIN,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027940,V.Miller,DEN,DEF,11,0,13.0,1,0,3,0,0
2018,00-0027941,M.Dareus,JAX,DEF,1,0,1.0,0,0,0,0,0
2018,00-0027943,P.Peterson,ARI,DEF,4,0,1.0,2,0,1,0,0
2018,00-0027949,J.Watt,HOU,DEF,11,0,15.0,0,0,0,0,0
2018,00-0027952,R.Quinn,MIA,DEF,6,0,6.0,0,0,0,0,0
2018,00-0027954,R.Kerrigan,WAS,DEF,10,0,12.0,0,0,1,0,0
2018,00-0027955,N.Solder,PHI,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027956,C.Liuget,LAC,DEF,2,0,1.0,0,0,1,0,0
2018,00-0027957,P.Amukamara,CHI,DEF,3,0,0.0,3,0,0,0,0
2018,00-0027958,A.Clayborn,NE,DEF,3,0,3.0,0,0,0,0,0
2018,00-0027962,C.Jordan,NO,DEF,8,0,13.0,0,0,1,0,0
2018,00-0027965,J.Smith,BAL,DEF,1,0,0.0,2,0,0,0,0
2018,00-0027966,M.Ingram,WAS,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027969,C.Heyward,PIT,DEF,5,0,7.0,0,0,1,0,0
2018,00-0027973,A.Dalton,KC,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027975,J.Sheard,IND,DEF,5,0,5.0,0,0,0,0,0
2018,00-0027980,B.Reed,ATL,DEF,1,0,1.0,0,0,0,0,0
2018,00-0027985,L.Kendricks,BUF,DEF,1,0,0.0,0,0,1,0,0
2018,00-0027988,M.Gilchrist,LV,DEF,3,0,0.0,3,0,0,0,0
2018,00-0028002,R.Cobb,GB,DEF,1,0,0.0,0,0,1,0,0
2018,00-0028003,T.McClain,ATL,DEF,1,0,1.0,0,0,0,0,0
2018,00-0028008,J.Houston,KC,DEF,10,0,10.0,1,0,4,0,0
2018,00-0028015,J.Casey,TEN,DEF,6,0,6.0,0,0,1,0,0
2018,00-0028022,M.Foster,WAS,DEF,4,0,1.0,2,0,2,0,0
2018,00-0028024,A.Bailey,KC,DEF,8,0,6.0,0,0,4,0,0
2018,00-0028037,K.Wright,SEA,DEF,1,0,0.0,1,0,0,0,0
2018,00-0028064,B.Powell,MIA,DEF,1,0,0.0,0,0,1,0,0
2018,00-0028075,B.Skrine,NYJ,DEF,1,0,0.0,0,0,1,0,0
2018,00-0028083,J.Rodgers,CHI,DEF,2,0,0.0,0,0,2,0,0
2018,00-0028087,D.Lewis,HOU,DEF,2,0,0.0,0,0,2,0,0
2018,00-0028092,R.Sherman,SF,DEF,2,0,1.0,0,0,1,0,0
2018,00-0028103,P.McPhee,WAS,DEF,1,0,0.0,0,0,1,0,0
2018,00-0028110,B.Fusco,CAR,DEF,1,0,0.0,0,0,1,0,0
