season,player_id,player_name,team,position,games,attempts,completions,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,fumbles
2018,00-0019596,T.Brady,NE,QB,19,695,460,5308,31,14,31,2,1,6,0,0
2018,00-0020531,D.Brees,NO,QB,17,567,418,4542,36,7,20,4,1,1,0,0
2018,00-0021206,J.McCown,NYJ,QB,4,110,60,539,1,4,32,0,0,0,0,0
2018,00-0021547,A.Gates,LAC,TE,17,0,0,0,0,0,0,0,37,409,3,0
2018,00-0022787,M.Schaub,ATL,QB,2,7,5,20,0,0,0,0,1,-7,0,0
2018,00-0022803,E.Manning,NYG,QB,16,576,380,4299,21,11,20,1,0,0,0,0
2018,00-0022921,L.Fitzgerald,ARI,WR,16,1,1,32,1,0,0,0,69,734,6,0
2018,00-0022924,B.Roethlisberger,PIT,QB,16,675,452,5129,34,16,98,3,1,-1,0,0
2018,00-0022942,P.Rivers,LAC,QB,18,591,394,4799,35,13,22,0,0,0,0,0
2018,00-0022943,B.Watson,NO,TE,14,0,0,0,0,0,0,0,36,412,2,0
2018,00-0023436,A.Smith,WAS,QB,10,328,205,2180,10,5,168,1,0,0,0,0
2018,00-0023459,A.Rodgers,GB,QB,16,597,372,4442,25,2,269,2,0,0,0,0
2018,00-0023500,F.Gore,MIA,RB,14,0,0,0,0,0,722,0,12,124,1,0
2018,00-0023564,D.Sproles,PHI,RB,8,0,0,0,0,0,145,1,20,195,2,0
2018,00-0023645,D.Anderson,BUF,QB,2,70,42,465,0,4,-1,0,0,0,0,0
2018,00-0023662,M.Cassel,DET,QB,2,17,7,59,0,1,13,0,0,0,0,0
2018,00-0023682,R.Fitzpatrick,TB,QB,8,246,164,2366,17,12,152,2,0,0,0,0
2018,00-0023853,M.Prater,DET,K,1,1,1,8,1,0,0,0,0,0,0,0
2018,00-0024221,V.Davis,WAS,TE,13,0,0,0,0,0,0,0,25,367,2,0
2018,00-0024243,M.Lewis,GB,TE,4,0,0,0,0,0,0,0,3,39,0,0
2018,00-0024334,B.Marshall,SEA,WR,6,0,0,0,0,0,0,0,11,136,1,0
2018,00-0024348,K.Williams,BUF,DT,1,0,0,0,0,0,0,0,1,9,0,0
2018,00-0024389,De.Walker,TEN,TE,1,0,0,0,0,0,0,0,4,52,0,0
2018,00-0024417,S.Koch,BAL,P,1,1,1,21,0,0,0,0,0,0,0,0
2018,00-0025394,A.Peterson,WAS,RB,16,0,0,0,0,0,1042,7,20,208,1,0
2018,00-0025396,T.Ginn,NO,WR,7,0,0,0,0,0,26,0,23,311,2,0
2018,00-0025399,M.Lynch,LV,RB,6,0,0,0,0,0,376,3,15,84,0,0
2018,00-0025415,J.Staley,SF,T,1,0,0,0,0,0,0,0,1,-5,0,0
2018,00-0025418,G.Olsen,CAR,TE,9,0,0,0,0,0,0,0,27,291,4,0
2018,00-0025580,M.Crosby,GB,K,1,0,0,0,0,0,0,0,0,0,0,0
2018,00-0025944,S.Hauschka,BUF,K,1,0,0,0,0,0,0,0,0,0,0,0
2018,00-0026035,D.Amendola,MIA,WR,15,1,1,28,1,0,-2,0,59,575,1,0
2018,00-0026143,M.Ryan,ATL,QB,16,608,422,4924,35,7,125,3,1,5,1,0
2018,00-0026153,J.Stewart,NYG,RB,3,0,0,0,0,0,17,0,0,0,0,0
2018,00-0026158,J.Flacco,BAL,QB,9,379,232,2465,12,6,45,0,0,0,0,0
2018,00-0026176,J.Nelson,LV,WR,15,0,0,0,0,0,-2,0,63,739,3,0
2018,00-0026189,D.Jackson,TB,WR,12,0,0,0,0,0,29,1,41,774,4,0
2018,00-0026197,C.Henne,KC,QB,1,3,2,29,0,0,3,0,0,0,0,0
2018,00-0026213,J.Charles,JAX,RB,2,0,0,0,0,0,7,0,2,7,0,0
2018,00-0026300,J.Johnson,WAS,QB,4,91,52,590,3,4,120,1,0,0,0,0
2018,00-0026345,P.Garcon,SF,WR,8,0,0,0,0,0,0,0,24,286,1,0
2018,00-0026498,M.Stafford,DET,QB,16,555,367,3777,21,11,71,0,0,0,0,0
2018,00-0026544,C.Daniel,CHI,QB,4,76,53,515,3,2,3,0,1,8,0,0
2018,00-0026625,B.Hoyer,NE,QB,5,2,1,7,0,0,-8,0,0,0,0,0
2018,00-0026898,M.Sanchez,WAS,QB,2,35,19,138,0,3,8,0,0,0,0,0
2018,00-0026901,M.Wallace,PHI,WR,1,0,0,0,0,0,0,0,0,0,0,0
2018,00-0026983,D.Heyward-Bey,PIT,WR,3,0,0,0,0,0,-7,0,1,9,0,0
2018,00-0026986,M.Crabtree,BAL,WR,17,0,0,0,0,0,0,0,56,645,5,0
2018,00-0027029,L.McCoy,BUF,RB,14,0,0,0,0,0,514,3,34,238,0,0
2018,00-0027061,J.Cook,LV,TE,16,0,0,0,0,0,0,0,68,896,6,0
2018,00-0027139,J.Phillips,ARI,TE,2,0,0,0,0,0,0,0,3,38,0,0
2018,00-0027150,J.Edelman,NE,WR,15,2,2,43,0,0,122,0,100,1238,6,0
2018,00-0027215,L.Paulsen,ATL,TE,7,0,0,0,0,0,0,0,9,91,1,0
2018,00-0027325,L.Blount,DET,RB,16,0,0,0,0,0,418,5,10,67,0,0
2018,00-0027440,S.Shields,LA,CB,2,0,0,0,0,0,0,0,2,24,0,0
2018,00-0027531,C.Ivory,BUF,RB,13,0,0,0,0,0,385,1,12,175,0,0
2018,00-0027656,R.Gronkowski,NE,TE,16,0,0,0,0,0,0,0,60,873,3,0
2018,00-0027675,E.Dickson,SEA,TE,10,0,0,0,0,0,9,0,16,185,3,0
2018,00-0027681,B.LaFell,LV,WR,4,0,0,0,0,0,0,0,12,135,2,0
2018,00-0027685,E.Sanders,DEN,WR,12,1,1,28,1,0,53,1,71,868,4,0
2018,00-0027688,C.McCoy,WAS,QB,3,54,34,372,3,3,63,0,0,0,0,0
2018,00-0027691,A.Roberts,NYJ,WR,8,0,0,0,0,0,20,0,10,79,1,0
2018,00-0027696,J.Graham,GB,TE,16,0,0,0,0,0,0,0,55,636,2,0
2018,00-0027793,A.Brown,PIT,WR,15,1,0,0,0,0,0,0,104,1297,15,0
2018,00-0027796,J.Webb,HOU,QB,1,0,0,0,0,0,0,0,2,13,0,0
2018,00-0027854,S.Bradford,ARI,QB,3,80,50,400,2,4,7,0,0,0,0,0
2018,00-0027873,J.Gresham,ARI,TE,8,0,0,0,0,0,0,0,9,94,0,0
2018,00-0027874,D.Thomas,HOU,WR,7,0,0,0,0,0,0,0,23,275,2,0
2018,00-0027891,G.Tate,PHI,WR,10,0,0,0,0,0,-8,0,37,342,2,0
2018,00-0027925,J.Develin,NE,FB,14,0,0,0,0,0,13,4,13,70,0,0
2018,00-0027939,C.Newton,CAR,QB,14,471,320,3395,24,13,488,4,0,0,0,0
2018,00-0027942,A.Green,CIN,WR,9,0,0,0,0,0,0,0,46,694,6,0
2018,00-0027944,J.Jones,ATL,WR,16,0,0,0,0,0,12,0,113,1677,8,0
2018,00-0027948,B.Gabbert,TEN,QB,8,101,61,626,4,4,0,0,0,0,0,0
2018,00-0027966,M.Ingram,NO,RB,14,0,0,0,0,0,729,6,25,185,1,0
2018,00-0027973,A.Dalton,CIN,QB,11,365,226,2566,21,11,99,0,0,0,0,0
2018,00-0027981,K.Rudolph,MIN,TE,16,0,0,0,0,0,0,0,64,634,4,0
2018,00-0027985,L.Kendricks,GB,TE,13,0,0,0,0,0,0,0,19,170,1,0
2018,00-0027996,T.Smith,CAR,WR,8,0,0,0,0,0,0,0,17,190,2,0
2018,00-0028002,R.Cobb,GB,WR,9,0,0,0,0,0,0,0,38,383,2,0
2018,00-0028011,S.Ridley,PIT,RB,9,0,0,0,0,0,80,1,3,18,0,0
2018,00-0028042,L.Stocker,TEN,TE,12,0,0,0,0,0,0,0,15,165,2,0
2018,00-0028063,T.Jones,BUF,RB,2,0,0,0,0,0,0,0,0,0,0,0
2018,00-0028064,B.Powell,NYJ,RB,7,0,0,0,0,0,343,0,11,110,1,0
2018,00-0028074,A.Sherman,KC,RB,8,0,0,0,0,0,2,0,8,96,1,0
2018,00-0028083,J.Rodgers,TB,RB,13,0,0,0,0,0,106,1,38,304,0,0
2018,00-0028087,D.Lewis,TEN,RB,16,0,0,0,0,0,517,1,59,400,1,0
2018,00-0028091,J.Kerley,BUF,WR,1,0,0,0,0,0,0,0,2,7,0,0
2018,00-0028093,N.Paul,JAX,TE,5,0,0,0,0,0,-3,0,10,98,0,0
2018,00-0028097,L.Smith,LV,TE,6,0,0,0,0,0,0,0,10,73,3,0
2018,00-0028112,C.Clay,BUF,TE,11,0,0,0,0,0,0,0,21,184,0,0
2018,00-0028114,D.Harris,LV,WR,8,0,0,0,0,0,12,0,6,40,0,0
2018,00-0028116,A.Robinson,MIN,WR,14,0,0,0,0,0,0,0,17,231,5,0
2018,00-0028118,T.Taylor,CLE,QB,4,85,42,473,2,2,125,1,0,0,0,0
2018,00-0028128,C.Jones,CAR,FS,1,0,0,0,0,0,0,0,0,0,0,0
2018,00-0028142,V.Green,LAC,TE,15,0,0,0,0,0,0,0,21,219,2,0
2018,00-0028237,C.Hogan,NE,WR,18,0,0,0,0,0,0,0,43,590,3,0
2018,00-0028263,A.Holmes,DEN,WR,1,0,0,0,0,0,0,0,1,5,0,0
2018,00-0028292,N.Bellore,DET,ILB,4,0,0,0,0,0,0,0,4,15,0,0
